Restaurant,Cuisine
Big Ben Cafe,"Burgers, Fast Food"
Moti Mahal,"Indian, Seafood, Vegetarian"
Japanese Souq,Grocery
Keki Restaurant,Cafe
Albahaca Mexican Eats,"International, Healthy, Mexican"
Arsalan,"Arabic, Iranian"
Chicken Cottage,"Healthy, American"
Skate Cafe,"International, Arabic"
Madras Bucket Biryani,"Indian, Chinese, Desserts"
Wow Burger,"Burgers, Turkish, American"
Shape Restaurant,"Breakfast, Healthy, International"
Kabab Al Shandagha Restaurant,"Arabic, International"
Japang Japanese Fried Chicken,"Fried Chicken, Burgers, Japanese"
Asian Delight,"Chinese, Indian"
Chutney Restaurant,"Indian, International"
D.Goodies,"American, Burgers, International"
Royal Armani Flowers,"Flowers, Grocery"
Chicken Tikka,"Arabic, Indian"
Max's Restaurant,Asian
Sushi House,"International, Japanese, Seafood"
Faithway Pharmacy,Pharmacy
Red Toro Burger,"International, Breakfast, Burgers"
Manarat Al Majaz,"Arabic, Lebanese, Sandwiches"
Freakin Healthy,"Specialty Store, Healthy"
Abu Zaab Refreshments,"Burgers, Indian, Arabic"
Mug N Cream Cafe,"Beverages, Burgers, Sandwiches"
Box`s Restaurant,"Burgers, Sandwiches, American"
Chocolala,"Specialty Store, Chocolate , Desserts"
The Little Bali,"Asian, Indonesian"
The Cost Trade,Flowers
Karak Dose,"Sandwiches, Emirati, Beverages"
Big Smoke Burger,"Burgers, Sandwiches"
Flourish Flowers,Flowers
Sarhad Restaurant,Pakistani
Chicking,"Burgers, Sandwiches"
West Al Balad,"Arabic, Beverages, Grills"
This Is Hot Dog,"American, Sandwiches"
TGI Fridays,"American, Burgers, Grills"
Asrar Kitchen And Restaurant Popular,"Emirati, Arabic, Mandi"
Al Hunoof Public Kitchen,"Arabic, Mandi"
Cremolata,"Desserts, Italian, Cafe"
Noodle Express,"Chinese, Asian"
Studio De Cafe,"Healthy, Breakfast, Cafe"
Raspberry Shake,"Beverages, Desserts"
Merdost Turkish Food Restaurant,Turkish
Pause - Sandwiches & Coffee,"Cafe, Healthy, Sandwiches"
Silver Sports Star Restaurant and Cafeteria,"Burgers, Cafe, Pizza"
Simit Sarayi Bakery Cafe,"Breakfast, Cafe, Turkish"
Indian Summer Restaurant,"Indian, Chinese, Desserts"
Estirahat Alsitiynat Restaurant,"Arabic, Emirati"
Roti Boti Restaurant,"Indian, Arabic, Grills"
Rangoli Veg,"Vegetarian, Breakfast, Indian"
Beau Rivage Bar,"International, American, Italian"
OJ's Neighborhood,"International, Breakfast, Cafe"
Argentina Grill Restaurant,"International, Burgers"
Mantoushe Lebanese Fusion,"Arabic, Healthy, Sandwiches"
Falafel Frayha,"Lebanese, Sandwiches, Arabic"
Area 51 Burger Cafe,"American, Burgers, Sandwiches"
Rossovivo Artisan Pizza,Pizza
Selfie Burger,"Burgers, Italian, American"
Eclair Pastry,Desserts
Shrimpy Pot,Seafood
Al Sultan Sweets,"Specialty Store, Desserts"
Mahshi AlAjeeb,"Arabic, Egyptian"
Talk Hang,"Seafood, International, Asian"
Fruits juices & Hot refreshments,"Beverages, Desserts"
House of Pizza,"Pizza, Italian"
Al Multan Restaurant &Kitchen,"Chinese, Indian, Pakistani"
Madfoon Al Sadda,"Arabic, Mandi, Emirati"
Al Duaah Restaurant,Iranian
Yaki Station,"Burgers, Japanese, Seafood"
Zwad Al Mandi,"Arabic, Mandi"
Caribou Coffee,"International, American, Cafe"
Sardina Seafood Restaurant,"Seafood, Snacks "
Al Mukhtar Bakery,"Arabic, Lebanese"
Charley's,"Sandwiches, International, American"
Pasta Mix,Italian
Xiao Wei Yang Hotspot,"Chinese, Asian"
Cream & Butter,"Cafe, Desserts"
Go biryani,"Indian, Vegetarian"
WOX Chinese,"Chinese, Asian"
P.F. Chang's,"Asian, Chinese, Japanese"
Sandwich Up,"Sandwiches, International, Healthy"
Bread and Barrel,"Italian, Bakery and Cakes, Desserts"
The Third Place Cafe,"International, Breakfast, Healthy"
Quinoa Power,"Healthy, Mexican, American"
New Castello Restaurant & Cafe,"Arabic, Indian, Italian"
Osha Emirati Gourmet,"Emirati, Arabic"
AL Khaimah Supermarket,Grocery
Fan Al Kunafa Sweets,"Desserts, Arabic"
Cafeteria Naseem Alremal,"Pizza, Sandwiches, Beverages"
Karaz & Meshmesh,"Burgers, Pizza, International"
Babylon Cafe,"International, Cafe, Italian"
Caspian Kabab,Iranian
PetPooja,"Indian, Pakistani"
Healthy Juicery,"Healthy, International"
Soulgreen Restaurant and Coffee Shop,"Healthy, Vegetarian"
Rayan Food,"Arabic, American, Healthy"
Tarh Al Bahr Restaurant,Seafood
Bin Eid Traditional Restaurant,"Arabic, Emirati"
Bustan Malaky Mandi Restaurant,"Arabic, Grills, Mandi"
Baskin Robbins Dessert Cafe,Desserts
Koshary Afandina,"Arabic, Egyptian"
Smiley Burger,"Burgers, Sandwiches, American"
Shaghf Cafe,"Cafe, Desserts, Beverages"
Maharaja Cafe,"Indian, Cafe"
Valentino Speciality Coffee,"Cafe, Beverages"
Khuzam Pastries,"Bakery and Cakes, Breakfast"
Hyderabad Star Restaurant,Indian
One Zero One Nakhat Al Shai,"Fast Food, Burgers"
Cocktail Al Shai Cafeteria,"Arabic, Burgers, Indian"
Falafel and Kababs Restaurant,Arabic
Solidair Restaurant And Cafe,"Arabic, Sandwiches, International"
The Noodle Room Express,"Chinese, Thai"
Tikka Town,"Indian, Vegetarian, Chinese"
Ice Cream Of Arabia,"Desserts, Emirati, Arabic"
Circles And Slices,Pizza
I chocolate,Desserts
Lebanon Flower Bakery,"Arabic, Desserts, Lebanese"
Faasos,"Shawarma & Doner, Snacks , Indian"
Cute Burger,"Burgers, Sandwiches, Beverages"
Asia Kitchen,"Asian, Chinese, Japanese"
Maltesr,"Burgers, Beverages, American"
Burgers & Burgers,Burgers
Biella,Italian
UpBeat Bowls & Burritos,"Healthy, Mexican"
Haleeb Al Zaafran,"International, Beverages, Burgers"
Al Derwaza Restaurant,"Arabic, Beverages, Desserts"
Vigilante Mexican Food,"Mexican, Bowls, Healthy"
Otaku Poke,"Japanese, Desserts, Healthy"
Bahubali Biryani,Indian
Eighty8 Lounge,"Grills, Sandwiches, International"
Asateer,"Arabic, Grills, Lebanese"
Punjabi Dhaba Restaurant,"Indian, Vegetarian, Asian"
Adore Love Pamper,Pet Shop
Green Chilly,"Arabic, Indian, Pakistani"
Pink Burger,"Burgers, Sandwiches, Beverages"
Diet Bite Restaurant,"Healthy, Vegetarian, Breakfast"
Roots Bistro,Healthy
Puro Restaurant,"Italian, Pizza, Desserts"
The Waresh Cafe,"International, Breakfast, Cafe"
Chocomelt,"Desserts, Cafe"
Chai and Co. Cafe and Restaurant,"Breakfast, Indian, International"
Bdyafitna Cafeteria,"Burgers, Lebanese, Sandwiches"
The Good Greek,"American, Breakfast, Healthy"
Galaxy Grand Cafe,"Arabic, Emirati, International"
Spin Cafe,"Cafe, Desserts"
Azzurro Pizzeria,"Italian, Pizza"
Wadi Dowan For Honey,Specialty Store
Mataa Mzagk,"Burgers, Italian, Arabic"
Shawarmco Bites,"Arabic, Grills"
Luxury Mandi Restaurant,"Mandi, Arabic"
Barista Vibes Cafe,"Cafe, Desserts, Beverages"
Argentine Burger,Burgers
Sapori Cafeteria,"Pizza, International, Arabic"
The Grill,"International, Lebanese"
Kulfi King Ice Cream Shop,"Desserts, Frozen Yogurt"
NKD pizza,"Healthy, Italian, Pizza"
Crepe Factory,"Desserts, Cafe"
KUMAR STATION,"Indian, Sandwiches, Breakfast"
Diva Maharashtracha,"Indian, Vegetarian, Desserts"
Baryoosha Cafe,"American, Cafe, Desserts"
Ayyam Al Khair Restaurant And Cafe,"Arabic, Shawarma & Doner"
Al Samakah And Al Sayyd Cafeteria,Seafood
Al Yemen Mandi Restaurant,"Arabic, Mandi"
Mohammad Salim Restaurant,"Grills, Indian, Pakistani"
Buddiez,"American, Italian, International"
Yateem Pharmacy,Pharmacy
Tikka Friends Restaurant,"Arabic, Iranian, Pakistani"
M14 Cafe,"Cafe, Desserts, International"
Karam Beirut,"Lebanese, Arabic"
Punjab Grill Indian Fine Dining,Indian
Embers Restaurant,"Arabic, Pakistani"
Slider Station,"American, Burgers"
Rival Café,"Desserts, Beverages, Cafe"
Gino's Deli,"Italian, Sandwiches, Healthy"
Haram Al Madeena Supermarket,"Grocery, Beverages, Snacks "
Manna Land Korean Restaurant,"Asian, Seafood"
Bait Al Dawaa Pharmacy,Pharmacy
Fujiya Restaurant,"Japanese, Asian"
Bon Fete,"Desserts, Chocolate , Cafe"
Al Wasl Water,"Grocery, Beverages"
Shaghf,"American, Cafe, Desserts"
Crunchix,"Italian, Chinese, Indian"
Sub Bingo Restaurant,"American, Mexican"
Falafelz,"American, Sandwiches, Arabic"
Al Anqoud Restaurant,"American, Grills, Seafood"
Sweetna Halshkl,"Specialty Store, Bakery and Cakes, Desserts"
Ard Al Hadara Restaurant Mandi & Madhbi,"Arabic, Mandi"
Shawarmatac,"Arabic, Shawarma & Doner, Sandwiches"
Blaze Pizza,"Pizza, Healthy, Italian"
Al Saha Al Jamal Pharmacy,Pharmacy
Chagh Kabab Restaurant & Cafeteria,"Turkish, Arabic, Shawarma & Doner"
Mandena Mandi,"Arabic, Mandi"
Bikers World Cafe,"Breakfast, Desserts, Sandwiches"
Burfries Restaurant And Grills,"Grills, Italian, Burgers"
Sama Maleha (Desi Bites),"Indian, Pakistani"
Oakberry Acai Bowls,"Desserts, Healthy, Vegetarian"
Shazoma Shawarma,"Shawarma & Doner, Lebanese, Arabic"
Baran Restaurant and Cafe,"Arabic, Iranian, Sandwiches"
Signature Cafe,"Cafe, Italian, International"
Shake Shack,"American, Burgers"
Moshi Moshi Restaurant,"Asian, Healthy, Japanese"
Mr. Toads Pub & Kitchen,"Grills, Indian, International"
Crepe & Breakfast,"Breakfast, Desserts"
Lock Cafe,"Cafe, Desserts"
Rawkure  Feed Your Cells,"Healthy, Salads, Desserts"
Circle K,Grocery
Super Restaurant,"Indian, Chinese"
Sett Al Sham,"Arabic, Shawarma & Doner"
Bait Jade Restaurant And Pastries,"Arabic, Beverages, Grills"
MARAS TURKA,"International, Turkish"
New Kwality Restaurant,"Indian, Vegetarian, Asian"
Rashid Ali Hassan Cafeteria,"Burgers, Sandwiches"
Breeze Beach Grill,International
Golden Spoon Vegetarian Restaurant,"Vegetarian, Chinese, Indian"
Musheirif Pharmacy,Pharmacy
Austin Macauley Publishers,"Specialty Store, Grocery"
Honey Special Cake Cafe,"Specialty Store, Chocolate , Bakery and Cakes"
Asian Plates Restaurant,"Asian, Thai, International"
Eighties Restaurant,"American, Burgers, Italian"
Mizu Restaurant,Japanese
Infusion Speciality Coffee,"Breakfast, Cafe, Sandwiches"
Bon Vivant,Healthy
Pastamoro,"Italian, Pizza"
Al Wadi Restaurant,"Indian, Pakistani"
Aldar Garden Restaurant,"Lebanese, Arabic"
Markette,"International, Italian"
Bosporus,Turkish
Najd Palace Restaurant and Kitchen,"Arabic, Mandi"
Pakwaan Food,"Indian, Pakistani"
DABANG Kathi and Curry,"Indian, Asian"
Escape Coffee Shop,"Cafe, Sandwiches, Breakfast"
New Dooa Pharmacy,Pharmacy
Sweet Corners,"Desserts, Cafe"
The Cheesecake Factory,"American, Breakfast, Desserts"
The Bowl One Restaurant,Healthy
Cups and Mills Cafe,"Cafe, Desserts, Breakfast"
25 55 Burger,"Burgers, Desserts"
Saj Al Daeah Restaurant,"Arabic, Lebanese"
Debonairs Pizza,"Pizza, Sandwiches"
Qasr Saba For Mandi Restaurant,"Mandi, Arabic"
Lazfan Cafe,"Cafe, Emirati"
Ala Kayfak,"Arabic, Pakistani, International"
Les Floralies Boutique Cafe,"American, Breakfast, Cafe"
Al Bait Al Dimashqi,"Arabic, Sandwiches"
Al Shawamikh City Restaurant,"Arabic, Mandi"
Junkyard,"American, Burgers, Sandwiches"
Delhi Restaurant,"Indian, Pakistani, Asian"
Waraq Enab Restaurant,"Arabic, Lebanese"
X2 Cafe,"Cafe, Desserts, Beverages"
ChicKing,"Burgers, Sandwiches"
Urban Fusion Cafe,"American, Burgers, Desserts"
Namaste India,"Asian, Indian"
Semsem & Zaatar Cafeteria,"Arabic, Breakfast, Pizza"
Amigos Pastries Burger,"Pizza, Beverages, Desserts"
Fatafeat Al Sham,"Arabic, Lebanese, Sandwiches"
Royal Orchid Restaurant,"Asian, Chinese"
Sugaholic,Desserts
Manila Pinoy Restaurant & Bakery,"Asian, Desserts"
Chai Sutta Cafe,"Cafe, Indian, Pizza"
Vegas Snack Food,"American, Burgers"
Oasis Oriental Restaurant,"Arabic, Emirati, International"
The Fit Food Kitchen,"Healthy, Breakfast, Desserts"
Qatayef Sweets,"Specialty Store, Desserts, Arabic"
Seattle Best Coffee,"Breakfast, Cafe"
Bombay Mahal Restaurant,"Indian, Pakistani, Grills"
Donner Express Restaurant,"Shawarma & Doner, Grills, Pakistani"
Xandros Restaurant & Terrace Lounge,"Grills, Lebanese, Pizza"
Food Shack,"Burgers, Pizza, Shawarma & Doner"
Little Bangkok Go,"Asian, Chinese, Thai"
Project Kunafa Cafe,"Desserts, Lebanese, Sandwiches"
Omi's Corner,"Arabic, Lebanese, Emirati"
Zain Alsham Cafeteria,"Arabic, Lebanese, International"
Project Pie,Pizza
Hamooz,"American, Burgers, Sandwiches"
Abu Dhabi Poultry Farm,Grocery
Mitts & Trays,"International, Breakfast"
Al Madina Supermarkets,Grocery
Beit Manoushe,"Arabic, Bakery and Cakes"
Vault Burger,"Burgers, Sandwiches, American"
The Victorian,"Desserts, Beverages, Breakfast"
AlHijaz Mandi Restaurant,"Arabic, Mandi"
Freeke Good,"Healthy, Lebanese, Arabic"
Al Falak Cafe,"Arabic, Lebanese, International"
Barney's Bakery,Desserts
Grand Treat,"Indian, International, Asian"
Eat Neat,"Healthy, International, Breakfast"
Osh Restaurant,International
Cafe Letterario By Cafe Barbera,"Cafe, Italian, Sandwiches"
Zahrat Alliali Pastry,"Lebanese, Pizza, Arabic"
Mai Kolachi,Pakistani
Ananda Bhavan,"Indian, Vegetarian, Breakfast"
First Clique Cafe & Restaurant,"Italian, Pizza"
Dagagty ِAl Lazizah for Brosted and shawerma,"Arabic, Shawarma & Doner, Fried Chicken"
Abd El Wahab,"Arabic, Lebanese"
HOLA,Beverages
G's Cafe,"Breakfast, Cafe, Sandwiches"
Mathaq Al Hijaz Restaurant,Arabic
Hatam Al Taei Restaurant,Iranian
Homey Chinese,Chinese
Sushi Nations,"Japanese, Asian, Healthy"
Tea Connect,Indian
Share Cafe,"Cafe, Desserts, Arabic"
Ryoog Yadoo,"Emirati, Breakfast, Desserts"
Safari Restaurant,"Indian, Arabic, Chinese"
Khilwat Palace,"Chinese, Indian"
Trace,"Breakfast, Sandwiches, American"
Deniz Restaurant and Cafe,"Turkish, International, Shawarma & Doner"
Al Riyadh Cafeteria,"Burgers, Sandwiches"
Sunny Side Up,"Emirati, Arabic, Breakfast"
Al Samadi Sweets,"Specialty Store, Desserts"
Food Square Restaurant,"Italian, Lebanese, International"
Amigos Vine Restaurant,"Desserts, Arabic, Cafe"
Gulp,"International, Arabic, Healthy"
Pure Juice,"Desserts, Breakfast, Cafe"
Khafayef Pastry,"Egyptian, Arabic, Desserts"
Qasr Al Mansaf,"Arabic, Sandwiches"
Amaravathi Cafeteria,"Asian, Indian"
Freez Ice Cream & Juices,"Desserts, Beverages"
Toasted Bun,"Breakfast, Healthy, Sandwiches"
Cafe Delices,"Healthy, Sandwiches"
Malang Lounge,"Desserts, Grills, Indian"
Slunfeh Restaurant,"Arabic, Lebanese"
Bait Al Mandi Restaurant,Arabic
The Muse Cafe,"Cafe, Desserts, Sandwiches"
Dum Biryani,Indian
Two Seasons Restaurant,"Asian, Indian"
Golden Fork,"Asian, Seafood"
5 Yard Restaurant,"American, Burgers, Italian"
CHICKEN little,"Fast Food, Wings, Fried Chicken"
Da Afghan Chef Restaurant,"Indian, Pakistani, Desserts"
Boombalambuz Cafe,"Cafe, Desserts, Fast Food"
Sushi Counter,Japanese
Saj Way Lebanese Food,"Arabic, Grills, Lebanese"
Dragon Woks Restaurant,"Chinese, Seafood, Asian"
Taiba Restaurant And Grill,"Arabic, Lebanese, Sandwiches"
971 PHO,"International, Asian"
Pepper & Pine,"Breakfast, Healthy"
CHAKRAA EXPRESS RESTAURANT,"Chinese, Indian"
Saeed Speciality Cafe,"Cafe, International, Breakfast"
Dar Al Eatemad,"Arabic, Sandwiches"
dip n dip,"Desserts, Chocolate "
Dairah Restaurant,"Arabic, Indian, Pakistani"
Hot Spicy Restaurant,"American, Burgers, Italian"
luvana cafe,American
Master Of Wok,"Asian, Thai"
Hari Prasad Pure Vegetarian Restaurant,"Indian, Vegetarian"
Godiva Chocolatier,"Specialty Store, Chocolate "
KookBox,"American, Sandwiches"
Karak Gholam,"Sandwiches, Breakfast, Indian"
Mawal Al Sham Flower Cafeteria,"Arabic, Lebanese, Emirati"
Shoranur Restaurant,"Arabic, Indian, Pakistani"
Al Raya Cafeteria,"Indian, Vegetarian, Breakfast"
Al Qubtan Restaurant,"Arabic, Grills, Seafood"
Buffalo Wings & Rings,"American, Burgers, Sandwiches"
The Hidden Garden Flowers,Flowers
La Marquise Sweets,"Desserts, Arabic"
VOX Cinemas,"Snacks , Hot Dogs, Beverages"
Sofa Cafe,"Cafe, Desserts, Beverages"
Natural Way Sweets,"Grocery, Desserts"
Bharna Restaurant,"Arabic, Seafood, International"
Yamasaki Restaurant L.L.C,"Japanese, Seafood, International"
Broasted Al Medan Restaurant,"Arabic, Shawarma & Doner, Sandwiches"
Provalo Cafe,"Beverages, Breakfast, Cafe"
Zaffran Biryani,"Indian, Vegetarian"
Shawerma Sah Restaurant,"Shawarma & Doner, Sandwiches, Arabic"
Balance,"American, Sandwiches"
Trianon Patisserie and Boulangerie,"Bakery and Cakes, Desserts, Pizza"
Al Seewan,"Lebanese, International, Desserts"
Karaikudi Chettinad Mess,"Breakfast, Indian, Snacks "
Ice Cap Cafeteria,"American, Sandwiches, International"
Juicy & Fresh,"Beverages, Burgers, Desserts"
Paris Kitchen Restaurant,"Indian, International"
Fistik Zade Sweets And Pastries,"Turkish, Beverages, Desserts"
Arabiyat Alhara Restaurant,"Arabic, Lebanese, Sandwiches"
Al Azwa Restaurant,"Burgers, Sandwiches, Beverages"
Istanbul Flower Restaurant,"Grills, Turkish, Shawarma & Doner"
Social Restaurant,"Burgers, American, Breakfast"
Salat Al Sayad Seafood,"Seafood, International, Arabic"
Mora Cafe,Lebanese
Poke And Ceviche,"Healthy, American"
Karachi Grill Restaurant,"Pakistani, Grills, Indian"
Fresh And Cool Juices,"Cafe, Desserts, Beverages"
Loqmato,"Desserts, Turkish"
ALBOE,"American, Burgers"
Yalla Protein,"Pharmacy, Nutrition, Specialty Store"
Big And Fit Health Food,"Pharmacy, Nutrition, Grocery"
Churros Cafe,Desserts
Al Sheraa Fisheries Center,Seafood
Illy Cafe,"Breakfast, Desserts, Beverages"
Food Park Restaurant,"Arabic, Chinese, Indian"
Zbeel Dates,"Specialty Store, Grocery"
Al Nafoora Cafeteria,"Arabic, Breakfast"
Charleys philly steaks,"American, Sandwiches, International"
Flour and Floret Bakery and Cafe,"International, Beverages, Breakfast"
Med X Pharmacy,Pharmacy
Jabal Al Rayan Snacks and Pastry,"Breakfast, Pizza, Arabic"
Akl Zaman,"Egyptian, Arabic"
Healthy & Diet Restaurant,"Healthy, Sandwiches, Breakfast"
China Park Restaurant,Chinese
Chinese Palace Restaurant,"Chinese, Asian"
Xian Tang Lou,"Chinese, Seafood, Asian"
Koukh Filfilah,"Breakfast, Lebanese, Sandwiches"
Mazah Restaurant,"Lebanese, Sandwiches, International"
Slice & Bun Restaurant & Cafe,"Burgers, Pizza"
Butcher Shop,Butchery
Italian Concept,"Italian, Pizza"
Diet House,"Grills, Healthy, Snacks "
Shaghf Cafe,"Cafe, Desserts"
Pita Pit,"Breakfast, Healthy, Sandwiches"
Lavish Cafe,"Sandwiches, Cafe, Desserts"
Al Miqat Restaurant,"Indian, Arabic, Chinese"
Luluat Al Khaleej Pastries,"Arabic, Lebanese, Egyptian"
Shawarma And More Restaurant,"Shawarma & Doner, Snacks , Sandwiches"
Panda Chinese Restaurant,"Chinese, Asian"
De 19 th Cafe,"Beverages, Cafe, Desserts"
Rumidim General Trading,Pharmacy
Shetty Lunch Home,"Grills, Indian, Seafood"
Al Shorafaa Restaurant,"Pakistani, Breakfast"
Motomachi,"Japanese, Asian"
O'Learys Sports Restaurant,"American, Burgers, International"
Natural Pastries,"Pizza, Sandwiches"
1920 The 2nd Generation By Cafe Barbera,"Cafe, Desserts, Italian"
Matteo's Pizza,"Pizza, Italian"
Mizuki Food Box,Japanese
Krust,"Italian, Pizza, American"
Food Station Cafeteria,"Burgers, Fast Food, American"
Amir Alsham Restaurant and Grills,"Arabic, Grills"
Solabrity,Specialty Store
Game Of Toast,"Sandwiches, Breakfast"
Qasr Al Kabab,"Arabic, Indian, Pakistani"
Nakhat Yadoo,"Emirati, Arabic"
Bluebell,"Breakfast, Sandwiches, Beverages"
Athletes Kitchen,"Breakfast, Healthy, Vegetarian"
Chai Guru Cafe,"Arabic, Healthy, Indian"
Roots Cafe,"Cafe, Desserts"
SUBWICH,International
OG Sliders,"Sliders, Burgers, Hot Dogs"
Teema Restaurant,"Egyptian, Sandwiches"
Hashi W Mahashi - Tamees Restaurant,"Arabic, Emirati"
Napoli Pasta,Italian
Desi & More Restaurant,"Indian, Pakistani, Asian"
Pit Stop Burger,"Burgers, American"
The Usual Cafe,"Cafe, Beverages, American"
The Gelatist,"Italian, Desserts"
Ghamdan Restaurant,"Grills, Lebanese, Mandi"
Grill Express,"Lebanese, Arabic"
Dar Al Sham,"Arabic, Beverages, Grills"
Cibo Diet,"Healthy, Vegetarian, International"
Stick Magic Grills Restaurant,"Grills, Mandi, Arabic"
Turkmeny Delicious Restaurant,"Turkish, International"
Deccan Delight,Indian
Nobu,"Asian, Japanese"
Safartas Restaurant,"Arabic, Breakfast, Lebanese"
Napolitana By Cafe Barbera,"Healthy, Beverages"
Huff & Puff Burger,Burgers
Tarboush Express,"Lebanese, Shawarma & Doner"
Grill Hut Restaurant,"Arabic, Chinese"
Better Taste Express,"Arabic, Chinese, Indian"
King Palace Restaurant,"Indian, Pakistani"
Zaitoun Akhdar Restaurant,"Lebanese, Arabic, Breakfast"
Burger 28,"American, Burgers"
Shezon Bakery & Cafe,"Cafe, Desserts"
Alam Al Wajbat Cafeteria,"Indian, Sandwiches, Chinese"
Taco Shawarma,"Shawarma & Doner, Arabic"
Al Rowdha Restaurant,"Arabic, Shawarma & Doner, Grills"
Pastry Palace,"Arabic, Lebanese"
Sumo Sushi & Bento,Japanese
Mango Mania,"Specialty Store, Desserts"
Bam Cafe,"Cafe, Desserts"
Kullaj Omar,"Desserts, Emirati, Arabic"
Asgard,Burgers
Lizzat Biryani,Indian
Al Diwan Sweets,"Bakery and Cakes, Desserts, Arabic"
Nayana Express,"Arabic, Shawarma & Doner, Sandwiches"
Red Burger,"Burgers, American"
Eiz Al Sham Cafeteria And Grill,"Arabic, Breakfast, Lebanese"
Feras Al Diyafa Sweets,Desserts
Farni,"Emirati, Breakfast, Sandwiches"
Karakee Cafe,"Sandwiches, Beverages, Burgers"
Giovanni`s Pizza,"International, Italian, Pizza"
Newby Teas,Grocery
Pizza Man,"Pizza, Fast Food, Italian"
Qasr Lahore Restaurant,"Indian, Pakistani, Breakfast"
Tooot And Romman,"Beverages, Snacks , Desserts"
Al Hosn Alturathi Restaurant,"Emirati, Arabic"
The Lagoon Restaurant,"International, Arabic"
Grand Muriat Pharmacy,Pharmacy
Pasta express,Italian
Sakura Restaurant,"Asian, Chinese, Japanese"
Foodfight,American
Benan Flowers,Flowers
Jabal Al Noor Cafeteria,"Arabic, International"
Qasr Al Turath Restaurant,"Arabic, Mandi"
Al Afghan Hospitality Restaurant,"Asian, Grills, Arabic"
Cute Baby Boutique,Flowers
Copper Kettle Restaurant,"Pakistani, Indian"
Al Saj Café,"Lebanese, Arabic, Breakfast"
Equinoxx Design,Specialty Store
Cafe De La Paix,"Cafe, International"
Felix & Norton,"Cafe, Desserts"
Doctor Shawerma,"Arabic, Shawarma & Doner"
Cake AL Taybeen,Desserts
Tropical Drinks and Sweets,"Beverages, Desserts"
Tu Yung,"Asian, Chinese, Thai"
Fitness Feedz Meal Prep,Healthy
Go Biryani,"Indian, Vegetarian"
Moodgood Restaurant,Arabic
Qasr Al Yaman Al Mandy & Al Madabi Restaurant,Mandi
Alison Nelson's Chocolate Bar,"Desserts, American, Breakfast"
Golden Biryani Restaurant,"Indian, Grills"
New Punjab Restaurant,"Pakistani, Arabic, Indian"
Project Chaiwala,"Indian, Sandwiches, Beverages"
Malik Al Estikanat Tea,"Burgers, Indian, Sandwiches"
LILIIA Cafe,"Burgers, Cafe, Shawarma & Doner"
Maedat Al Numan Mandi Restaurant,"Arabic, Mandi"
Chef Pasta,Italian
Tabkhetna,"Arabic, Desserts"
Vicolo Italian Street Food,"Italian, Pizza, Pasta"
Wahat Al Khaleej,"Arabic, Egyptian"
Woodchuck Chicken,"Burgers, American"
Marina Café & Restaurant,"Italian, Pizza, Burgers"
Shanghai Station,"Asian, Chinese, Thai"
Lgaimat And Chebab,"Arabic, Breakfast, Desserts"
Nabeel Nafisah Sweets,"Desserts, Arabic"
Tuwar Traditional Kitchen,Arabic
Bareburger,"American, Burgers, Sandwiches"
Emirati Coffee,"Specialty Store, Roastery, Emirati"
GrandPa Pizza,"Pizza, Sandwiches, Italian"
Lassi Galaxy,"Burgers, Desserts, Snacks "
Eat Hot & Drink Cool,"Burgers, Sandwiches"
Golden City Bakery & Sweets,"Bakery and Cakes, Desserts"
Nizamat Hyderabad Restaurant,"Indian, Asian, Grills"
Malek Al Chocola,"Desserts, Arabic, Chocolate "
Massimo's Restaurant,"Italian, Pizza, Desserts"
Food Way Restaurant,"Indian, Arabic, Asian"
CaliBurger,"Burgers, American"
More Cafe,"Cafe, International, Breakfast"
Shaghf Cafe,Cafe
iBurger,"American, Burgers, Fast Food"
Touq Al Yasmeen Flowers & Chocolata,"Flowers, Chocolate "
Flower Mail Flowers & Gifts Wrapping,Flowers
Rangoli Restaurant,"Vegetarian, Breakfast, Indian"
Qahwa 03,"Beverages, Cafe, Desserts"
Healthy Fusion Restaurant,Healthy
Eataly,"Italian, Pizza, Healthy"
Laham and Agen Cafe,"Burgers, Sandwiches, Beverages"
Poke San,Japanese
The Friends Burger,"Sandwiches, Burgers"
Hamsa Wa Kabbsa Restaurant and Kitchen,"Mandi, Emirati, Arabic"
Al Tannor Cafeteria,"Burgers, Sandwiches"
Belgian Cafe,"Burgers, Desserts, International"
Farawla We Romman,Desserts
Just Kabab,"Lebanese, Arabic, Shawarma & Doner"
Layalina Moroccan Restaurant,"Arabic, Sandwiches"
